"","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","wing_length","mls","light_mode","control_light","sum(total2)","LightFact","TypeFact","total_new"
"1","MIDDLE",4,"6","amber","continuous","2","left","right","spotted","1",47.792,"over","off","control",60.101,"off","off",60.101
"2","MIDDLE",4,"5","blue","continuous","2","right","left","spotted","1",47.792,"over","off","control",262.401,"off","off",262.401
"3","MIDDLE",4,"2","green","flashing","2","right","left","spotted","1",47.792,"over","off","control",193.887,"off","off",193.887
"4","MIDDLE",4,"5","royalblue","flashing","1","left","right","spotted","1",47.792,"over","off","control",264.705,"off","off",264.705
"5","MIDDLE",4,"6","white","continuous","1","left","right","spotted","3",37.201,"under","off","control",16.71,"off","off",16.71
"6","MIDDLE",4,"5","white","flashing","2","left","right","spotted","3",37.201,"under","off","control",300,"off","off",300
"7","MIDDLE",3,"3","blue","flashing","2","right","left","spotted","4",32.184,"under","off","control",10.575,"off","off",10.575
"8","MIDDLE",3,"1","royalblue","continuous","1","left","right","spotted","4",32.184,"under","off","control",6.39499999999998,"off","off",6.39499999999998
"9","MIDDLE",4,"2","white","flashing","2","right","left","blonde","5",53.026,"over","off","control",192,"off","off",192
"10","MIDDLE",4,"3","blue","continuous","1","left","right","blonde","6",15.871,"under","off","control",150.628,"off","off",150.628
"11","MIDDLE",4,"2","blue","continuous","2","left","right","blonde","7",22.092,"under","off","control",23.391,"off","off",23.391
"12","MIDDLE",4,"4","green","flashing","1","left","right","blonde","7",22.092,"under","off","control",272.574,"off","off",272.574
"13","MIDDLE",4,"4","royalblue","continuous","2","left","right","blonde","7",22.092,"under","off","control",300,"off","off",300
"14","MIDDLE",4,"3","amber","flashing","2","right","left","blonde","8",23.02,"under","off","control",20.479,"off","off",20.479
"15","MIDDLE",4,"2","green","continuous","2","left","right","blonde","9",22.637,"under","off","control",104.501,"off","off",104.501
"16","MIDDLE",4,"2","green","flashing","2","left","right","spotted","10",33.765,"under","off","control",228.467,"off","off",228.467
"17","MIDDLE",4,"6","blue","continuous","2","right","left","smalleye","12",42.69,"under","off","control",147.766,"off","off",147.766
"18","MIDDLE",4,"1","green","flashing","1","left","right","smalleye","12",42.69,"under","off","control",261.766,"off","off",261.766
"19","MIDDLE",4,"3","green","continuous","1","right","left","smalleye","13",41.709,"under","off","control",182.025,"off","off",182.025
"20","MIDDLE",4,"2","green","flashing","2","left","right","smalleye","13",41.709,"under","off","control",285.312,"off","off",285.312
"21","MIDDLE",4,"3","royalblue","flashing","2","left","right","blonde","14",19.584,"under","off","control",99.711,"off","off",99.711
"22","MIDDLE",4,"2","blue","flashing","1","left","right","blonde","15",18.886,"under","off","control",247.241,"off","off",247.241
"23","MIDDLE",4,"5","red","continuous","2","right","left","blonde","15",18.886,"under","off","control",285.112,"off","off",285.112
"24","MIDDLE",4,"3","amber","continuous","1","left","right","blonde","16",16.53,"under","off","control",292.202,"off","off",292.202
"25","MIDDLE",4,"3","royalblue","flashing","1","right","left","blonde","19",28.603,"under","off","control",35.98,"off","off",35.98
"26","MIDDLE",4,"1","red","flashing","2","left","right","blonde","20",27.627,"under","off","control",134.053,"off","off",134.053
"27","MIDDLE",4,"4","white","flashing","2","left","right","blonde","20",27.627,"under","off","control",29.227,"off","off",29.227
"28","MIDDLE",3,"1","amber","continuous","2","right","left","spotted","21",31.901,"under","off","control",62.415,"off","off",62.415
"29","MIDDLE",3,"3","blue","continuous","2","right","left","spotted","21",31.901,"under","off","control",200.455,"off","off",200.455
"30","MIDDLE",4,"5","green","flashing","1","right","left","spotted","21",31.901,"under","off","control",277.723,"off","off",277.723
"31","MIDDLE",4,"1","royalblue","flashing","1","right","left","spotted","21",31.901,"under","off","control",85.548,"off","off",85.548
"32","MIDDLE",4,"2","white","continuous","2","left","right","spotted","21",31.901,"under","off","control",128.892,"off","off",128.892
"33","MIDDLE",4,"4","amber","continuous","2","left","right","spotted","23",48.91,"over","off","control",281.431,"off","off",281.431
"34","MIDDLE",2,"6","blue","continuous","2","left","right","spotted","23",48.91,"over","off","control",220.087,"off","off",220.087
"35","MIDDLE",4,"5","amber","flashing","1","left","right","blonde","24",24.916,"under","off","control",156.168,"off","off",156.168
"36","MIDDLE",3,"3","white","flashing","1","left","right","blonde","24",24.916,"under","off","control",102.904,"off","off",102.904
"37","stationary_control_stop",8,"2","green","continuous","1","right","left","spotted","1",47.792,"over","off","control",23.299,"off","off",23.299
"38","stationary_control_stop",8,"3","red","continuous","2","right","left","spotted","1",47.792,"over","off","control",58.329,"off","off",58.329
"39","stationary_control_stop",8,"4","red","flashing","1","right","left","spotted","1",47.792,"over","off","control",86.229,"off","off",86.229
"40","stationary_control_stop",8,"4","royalblue","continuous","2","left","right","spotted","1",47.792,"over","off","control",96.438,"off","off",96.438
"41","stationary_control_stop",8,"1","white","flashing","2","left","right","spotted","1",47.792,"over","off","control",30.246,"off","off",30.246
"42","stationary_control_stop",8,"1","amber","flashing","2","left","right","spotted","3",37.201,"under","off","control",205.76,"off","off",205.76
"43","stationary_control_stop",8,"3","green","flashing","2","left","right","spotted","3",37.201,"under","off","control",225.435,"off","off",225.435
"44","stationary_control_stop",8,"2","green","flashing","2","right","left","spotted","4",32.184,"under","off","control",52.466,"off","off",52.466
"45","stationary_control_stop",8,"2","green","continuous","2","left","right","blonde","5",53.026,"over","off","control",143.433,"off","off",143.433
"46","stationary_control_stop",6,"6","green","continuous","2","left","right","blonde","7",22.092,"under","off","control",42.759,"off","off",42.759
"47","stationary_control_stop",8,"1","red","flashing","1","left","right","blonde","7",22.092,"under","off","control",50.715,"off","off",50.715
"48","stationary_control_stop",8,"1","green","continuous","2","left","right","spotted","10",33.765,"under","off","control",88.671,"off","off",88.671
"49","stationary_control_stop",8,"2","royalblue","continuous","2","right","left","smalleye","12",42.69,"under","off","control",20.136,"off","off",20.136
"50","stationary_control_stop",8,"5","royalblue","flashing","1","left","right","smalleye","12",42.69,"under","off","control",49.767,"off","off",49.767
"51","stationary_control_stop",8,"2","white","continuous","1","left","right","smalleye","13",41.709,"under","off","control",114.714,"off","off",114.714
"52","stationary_control_stop",8,"2","white","flashing","2","right","left","blonde","14",19.584,"under","off","control",43.9589999999999,"off","off",43.9589999999999
"53","stationary_control_stop",8,"4","amber","continuous","2","left","right","blonde","15",18.886,"under","off","control",78.606,"off","off",78.606
"54","stationary_control_stop",8,"1","blue","continuous","1","left","right","blonde","16",16.53,"under","off","control",86.088,"off","off",86.088
"55","stationary_control_stop",8,"6","red","continuous","2","left","right","blonde","19",28.603,"under","off","control",143.69,"off","off",143.69
"56","stationary_control_stop",8,"3","blue","flashing","2","left","right","blonde","20",27.627,"under","off","control",277.231,"off","off",277.231
"57","stationary_control_stop",8,"3","blue","flashing","1","right","left","spotted","21",31.901,"under","off","control",93.352,"off","off",93.352
"58","stationary_control_stop",8,"1","white","flashing","1","right","left","spotted","23",48.91,"over","off","control",30.802,"off","off",30.802
"59","stationary_control_stop",8,"5","red","continuous","2","left","right","blonde","24",24.916,"under","off","control",119.471,"off","off",119.471
"60","stationary_control_stop",8,"3","white","continuous","2","left","right","blonde","24",24.916,"under","off","control",51.824,"off","off",51.824
"61","stationary_control_stop",8,"1","blue","flashing","2","left","right","blonde","25",28.174,"under","off","control",181.381,"off","off",181.381
"62","stationary_control_stop",8,"3","green","flashing","2","left","right","blonde","25",28.174,"under","off","control",60.438,"off","off",60.438
"63","stationary_control_stop",8,"1","blue","flashing","1","left","right","blonde","26",20.015,"under","off","control",64.171,"off","off",64.171
"64","stationary_control_stop",8,"1","white","continuous","2","left","right","blonde","26",20.015,"under","off","control",100.062,"off","off",100.062
"65","MIDDLE",2,"1","white","continuous","1","left","right","spotted","1",47.792,"over","off","light",156.832,"off","off",156.832
"66","MIDDLE",2,"2","royalblue","flashing","2","right","left","spotted","3",37.201,"under","off","light",167.179,"off","off",167.179
"67","MIDDLE",2,"2","amber","flashing","2","left","right","spotted","4",32.184,"under","off","light",81.963,"off","off",81.963
"68","MIDDLE",2,"2","green","flashing","2","right","left","spotted","4",32.184,"under","off","light",80.495,"off","off",80.495
"69","MIDDLE",2,"1","blue","continuous","2","right","left","blonde","5",53.026,"over","off","light",201.717,"off","off",201.717
"70","MIDDLE",2,"1","royalblue","flashing","1","left","right","blonde","5",53.026,"over","off","light",260.775,"off","off",260.775
"71","MIDDLE",2,"1","amber","continuous","2","right","left","blonde","7",22.092,"under","off","light",135.9,"off","off",135.9
"72","MIDDLE",2,"6","blue","flashing","1","right","left","blonde","7",22.092,"under","off","light",291.177,"off","off",291.177
"73","MIDDLE",1,"1","green","flashing","2","right","left","blonde","8",23.02,"under","off","light",72.871,"off","off",72.871
